i_index,r_index,title,isbn_10,isbn_13,publish_date,key,subjects,languages,description.value,genres,image_id,image_url
121893,504684,Snook Wallow,,['9781945401268'],2020,/books/OL30241613M,"['Fiction, mystery & detective, general', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781945401268.jpg
124708,517369,French Baker's War,,['9781777569921'],2021,/books/OL33935351M,"['Fiction, historical', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78178E+12,https://covers.openlibrary.org/b/isbn/9781777569921.jpg
125125,518048,Jinwar and Other Stories,,['9781951082055'],2022,/books/OL34093588M,"['Political science', 'Fiction, short stories (single author)']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781951082055.jpg
125177,518152,Hiding Place,,['9781951709488'],2021,/books/OL34119177M,"['Fiction, thrillers, general', 'Fiction, suspense']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781951709488.jpg
125211,518228,Moby Dick,,['9798685591197'],2020,/books/OL34139879M,"['Ahab, captain (fictitious character), fiction', 'Fiction, action & adventure', 'Fiction, fantasy, epic', 'Fiction, sea stories']",[{'key': '/languages/eng'}],,,9.79869E+12,https://covers.openlibrary.org/b/isbn/9798685591197.jpg
125275,518355,Can You Capture the Chupacabra?,,['9781663907714'],2021,/books/OL34170013M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78166E+12,https://covers.openlibrary.org/b/isbn/9781663907714.jpg
125874,519578,Dark Traveling,,['9781596870024'],2021,/books/OL34514426M,"['Fiction, science fiction, general', 'Brothers and sisters, fiction']",[{'key': '/languages/eng'}],,,9.7816E+12,https://covers.openlibrary.org/b/isbn/9781596870024.jpg
126107,521450,Reforming the Gambler,,['9781953054043'],2021,/books/OL34968683M,"['Fiction, historical, general', 'Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781953054043.jpg
126246,523480,Silk & Steel,['1633270254'],['9781633270251'],28-Nov-20,/books/OL35557501M,"['Fiction, action & adventure', 'Fiction, lgbtq+, gay']",[{'key': '/languages/eng'}],,,1633270254,https://covers.openlibrary.org/b/isbn/1633270254.jpg
126469,526429,Each of Us a Desert,['143288428X'],['9781432884284'],2021,/books/OL36353389M,"['Young adult fiction, romance, lgbtq+', 'Young adult fiction, social themes, emigration & immigration', 'Young adult fiction, magical realism']",[{'key': '/languages/eng'}],,,143288428X,https://covers.openlibrary.org/b/isbn/143288428X.jpg
126479,526919,Nefarious Engagement,,['9781942218487'],2021,/books/OL36526769M,"['Fiction, mystery & detective, general', 'Fiction, historical, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781942218487.jpg
126589,528288,I.N.E.T. 6,,['9781943949649'],2021,/books/OL36884719M,"['Fiction, lgbtq+, gay', 'Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78194E+12,https://covers.openlibrary.org/b/isbn/9781943949649.jpg
126984,532189,Album,,['9781613163610'],2022,/books/OL38000054M,"['Fiction, mystery & detective, general']",[{'key': '/languages/eng'}],,,9.78161E+12,https://covers.openlibrary.org/b/isbn/9781613163610.jpg
127066,533931,Wounded Kiss,,['9798885920803'],2020,/books/OL38412753M,"['Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.79889E+12,https://covers.openlibrary.org/b/isbn/9798885920803.jpg
127441,541600,Short Stories by Indie Authors,,['9781737523925'],2022,/books/OL40179139M,"['Fiction, action & adventure', 'Fiction, general']",[{'key': '/languages/eng'}],,,9.78174E+12,https://covers.openlibrary.org/b/isbn/9781737523925.jpg
127876,552668,Detention,,['9781954597853'],2023,/books/OL42833857M,"['Fiction, romance, general']",[{'key': '/languages/eng'}],,,9.78195E+12,https://covers.openlibrary.org/b/isbn/9781954597853.jpg
128165,556946,Twisted times,['9966955178'],['9789966955173'],2020,/books/OL43850326M,"['False personation', 'Fiction']",[{'key': '/languages/eng'}],"Against a backdrop of conspiracies, drug trafficking and crime, powerful business cartels and a secret brotherhood, blood is shed for selfish reasons.",,9966955178,https://covers.openlibrary.org/b/isbn/9966955178.jpg
128415,559120,Twisted Secrets,,['9781956764215'],2022,/books/OL44353192M,"['Fiction, romance, general', 'Fiction, action & adventure']",[{'key': '/languages/eng'}],,,9.78196E+12,https://covers.openlibrary.org/b/isbn/9781956764215.jpg
129335,569057,Melt with Me,,['9780976632122'],2023,/books/OL46653632M,"['Fiction, erotica, general', 'Fiction, lgbtq+, lesbian']",[{'key': '/languages/eng'}],,,9.78098E+12,https://covers.openlibrary.org/b/isbn/9780976632122.jpg
129336,569140,Schnozzer and Tatertoes,,['9781454948315'],2023,/books/OL46674407M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78145E+12,https://covers.openlibrary.org/b/isbn/9781454948315.jpg
130330,585437,Pearson eText Medical Dosage Calculations,,['9780137381296'],2021,/books/OL50498117M,"['Suspense', 'General', 'English & college success -> english -> fiction']",[{'key': '/languages/eng'}],,,9.78014E+12,https://covers.openlibrary.org/b/isbn/9780137381296.jpg
132531,598656,Poof,,['9780646875873'],2023,/books/OL54049133M,"['Biography', 'Fiction, lgbtq+, gay']",[{'key': '/languages/eng'}],,,9.78065E+12,https://covers.openlibrary.org/b/isbn/9780646875873.jpg
167415,709167,Trojan Horse Trouble,,['9781631634239'],2020,/books/OL28061955M,"[""Children's fiction""]",[{'key': '/languages/eng'}],,,9.78163E+12,https://covers.openlibrary.org/b/isbn/9781631634239.jpg
167508,709310,Charming Falls Apart,,['9781684630493'],2020,/books/OL28093023M,"['Fiction, general']",[{'key': '/languages/eng'}],,,9.78168E+12,https://covers.openlibrary.org/b/isbn/9781684630493.jpg
167515,709329,Tahoma Literary Review,,['9781733105248'],2020,/books/OL28097887M,"['Fiction, general', 'Poetry, collections']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781733105248.jpg
167519,709336,Skiathos,,['9781733542517'],2020,/books/OL28099359M,"['Fiction, science fiction, general']",[{'key': '/languages/eng'}],,,9.78173E+12,https://covers.openlibrary.org/b/isbn/9781733542517.jpg
